location_id,location_name,street_name,locality,sub_locality,city,district,state,pincode,location_type,tourist_destination,latitude,longitude,predicted_safety_score,predicted_risk_level
LOC_107022,Dandwa Khurd,,Dandwa Khurd,,,,Uttar Pradesh,,village,0,26.19222,82.3517,50.103534311869524,RISKY
LOC_107023,Pabiā,,Pabiā,,,,Jharkhand,,village,0,23.06137,84.64484,56.09947601584037,MODERATE
LOC_107024,Imalia,,Imalia,,,,Madhya Pradesh,,village,0,22.91423,81.00642,49.47569860104031,RISKY
LOC_107025,Barkuān,,Barkuān,,,,Madhya Pradesh,,village,0,24.92552,79.65128,51.04953301430517,RISKY
LOC_107026,Hartha,,Hartha,,,,Himachal Pradesh,,village,0,30.63095,77.15994,60.94964434712948,MODERATE
LOC_107027,Ālamalai,,Ālamalai,,,,Tamil Nadu,,village,0,10.67177,79.80088,58.14080616802032,MODERATE
LOC_107028,Māngli,,Māngli,,,,Maharashtra,,village,0,20.16544,79.14811,51.300987570924896,RISKY
LOC_107029,Nātho ka Pura,,Nātho ka Pura,,,,Rajasthan,,village,0,26.83957,77.98752,55.957482732584666,MODERATE
LOC_107030,Pura Made Khān,,Pura Made Khān,,,,Uttar Pradesh,,village,0,27.41327,81.54869,48.5050592221833,RISKY
LOC_107031,Kodavalūru,,Kodavalūru,,,,Andhra Pradesh,,village,0,14.56689,80.00341,53.37888542220107,RISKY
LOC_107032,Parmānandpur,,Parmānandpur,,,,Bihar,,village,0,25.0545,85.58608,53.96987015447404,RISKY
LOC_107033,Belūr,,Belūr,,,,Karnataka,,village,0,13.91922,75.34735,57.952994646827904,MODERATE
LOC_107034,Bātwa,,Bātwa,,,,Gujarat,,village,0,22.95634,72.61254,57.74898853110198,MODERATE
LOC_107035,Dharauli,,Dharauli,,,,Uttar Pradesh,,village,0,25.97764,82.32452,49.970945724454765,RISKY
LOC_107036,Mūda Nadugōdu,,Mūda Nadugōdu,,,,Karnataka,,village,0,12.92142,75.0842,55.25091299975601,MODERATE
LOC_107037,Alīpura,,Alīpura,,,,Uttar Pradesh,,village,0,26.86699,79.23935,47.36545307842931,RISKY
LOC_107038,Anarpa,,Anarpa,,,,Uttarakhand,,village,0,29.43387,79.87034,59.63728182395035,MODERATE
LOC_107039,Balrāmpur,,Balrāmpur,,,,Madhya Pradesh,,village,0,24.33,80.81446,55.36678521189093,MODERATE
LOC_107040,Mānsinghpur,,Mānsinghpur,,,,Bihar,,village,0,25.2439,85.17422,49.94701555563384,RISKY
